Station,Name,Last Report,Time Since Report,Latitude,Longitude,5-min Precip,10-min Precip,30-min Precip,60-min Precip,3-hour Precip,12-hour Precip
6R6,DRYDEN,20250703165000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703165500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703170000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703170500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703171000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703171500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703172000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703172500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703173000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703173500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703174000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703174500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703175000,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703175500,00:00:00,30.046,-102.2129,0,0,0,0,1.016,4.826
6R6,DRYDEN,20250703180000,00:00:00,30.046,-102.2129,0,0,0,0,0.762,4.826
6R6,DRYDEN,20250703180500,00:00:00,30.046,-102.2129,0,0,0,0,0.254,4.826
6R6,DRYDEN,20250703181000,00:00:00,30.046,-102.2129,0,0,0,0,0.254,4.826
6R6,DRYDEN,20250703181500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703182000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703182500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703183000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703183500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703184000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703184500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703185000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703185500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703190000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703190500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703191000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703191500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703192000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703192500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703193000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703193500,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703194000,00:00:00,30.046,-102.2129,0,0,0,0,0,4.826
6R6,DRYDEN,20250703194500,00:00:00,30.046,-102.2129,0.254,0.254,0.254,0.254,0.254,5.08
6R6,DRYDEN,20250703195000,00:00:00,30.046,-102.2129,0,0.254,0.254,0.254,0.254,5.08
6R6,DRYDEN,20250703195500,00:00:00,30.046,-102.2129,0,0,0.254,0.254,0.254,5.08
6R6,DRYDEN,20250703200000,00:00:00,30.046,-102.2129,0,0,0.254,0.254,0.254,5.08
6R6,DRYDEN,20250703200500,00:00:00,30.046,-102.2129,0.254,0.254,0.508,0.508,0.508,5.334
6R6,DRYDEN,20250703201000,00:00:00,30.046,-102.2129,0,0.254,0.508,0.508,0.508,5.334
6R6,DRYDEN,20250703201500,00:00:00,30.046,-102.2129,0,0,0.254,0.508,0.508,5.334
6R6,DRYDEN,20250703202000,00:00:00,30.046,-102.2129,0.254,0.254,0.508,0.762,0.762,5.588
6R6,DRYDEN,20250703202500,00:00:00,30.046,-102.2129,0.254,0.508,0.762,1.016,1.016,5.842
6R6,DRYDEN,20250703203000,00:00:00,30.046,-102.2129,0.254,0.508,1.016,1.27,1.27,6.096
6R6,DRYDEN,20250703203500,00:00:00,30.046,-102.2129,0.254,0.508,1.016,1.524,1.524,6.35
6R6,DRYDEN,20250703204000,00:00:00,30.046,-102.2129,0,0.254,1.016,1.524,1.524,6.35
6R6,DRYDEN,20250703204500,00:00:00,30.046,-102.2129,0.254,0.254,1.27,1.524,1.778,6.604
6R6,DRYDEN,20250703205000,00:00:00,30.046,-102.2129,0.254,0.508,1.27,1.778,2.032,6.858
6R6,DRYDEN,20250703205500,00:00:00,30.046,-102.2129,0.254,0.508,1.27,2.032,2.286,7.112
6R6,DRYDEN,20250703210000,00:00:00,30.046,-102.2129,0.508,0.762,1.524,2.54,2.794,7.62
6R6,DRYDEN,20250703210500,00:00:00,30.046,-102.2129,0.254,0.762,1.524,2.54,3.048,7.874
6R6,DRYDEN,20250703211000,00:00:00,30.046,-102.2129,0.762,1.016,2.286,3.302,3.81,8.636
6R6,DRYDEN,20250703211500,00:00:00,30.046,-102.2129,0.508,1.27,2.54,3.81,4.318,9.144
