agency_cd	site_no	dec_lat_va	dec_long_va
USGS	8150800	30.64351548	-99.0958848
USGS	8151500	30.7513041	-98.6697773
USGS	8152000	30.5576991	-98.472271
USGS	8152900	30.22048584	-98.8697812
USGS	8153500	30.29187379	-98.3994904
USGS	8154700	30.37214825	-97.7847301
USGS	8155200	30.29631587	-97.925565
USGS	8155240	30.27409788	-97.84475235
USGS	8155300	30.24465306	-97.8022283
USGS	8155400	30.26354168	-97.772228
USGS	8155500	30.26354169	-97.7713947
USGS	8155541	30.24666667	-97.7691667
USGS	8156675	30.35416667	-97.7388889
USGS	8156800	30.276598	-97.7503052
USGS	8156910	30.32277778	-97.7227778
USGS	8157540	30.27162778	-97.7355583
USGS	8158000	30.24613889	-97.6800556
USGS	8158030	30.2861111	-97.7086111
USGS	8158035	30.26305556	-97.7125
USGS	8158045	30.30055556	-97.6855556
USGS	8158200	30.375205	-97.6605601
USGS	8158380	30.3543736	-97.6980818
USGS	8158600	30.2832642	-97.655003
USGS	8158700	30.08298924	-98.0077859
USGS	8158810	30.15548749	-97.9400076
USGS	8158813	30.1636611	-97.9070194
USGS	8158823	30.1251 -97.90571111	5
USGS	8158824	30.125833	-97.903889
USGS	8158827	30.12632345	-97.8211161
USGS	8158840	30.20909967	-97.90336492
USGS	8158860	30.1621554	-97.8322279
USGS	8158922	30.2263215	-97.8414188
USGS	8158927	30.2124722	-97.8288611
USGS	8158930	30.22132179	-97.7936396
USGS	8158970	30.189378	-97.732504
USGS	8159000	30.17798987	-97.6886138
USGS	8159105	30.17647778	-97.5869167
USGS	8159110	30.38349444	-97.6020611
USGS	8159200	30.10466154	-97.3194368
USGS	8159250	30.09453056	-97.6593222
USGS	8159500	30.01272074	-97.1619321
USGS	8160400	29.9124474	-96.9038699
USGS	8160800	29.79911967	-96.5321933
USGS	8161000	29.7063454	-96.5369155
USGS	8162000	29.30913668	-96.1038482
USGS	8162500	28.9741462	-96.0124588
USGS	8162501	28.77416667	-95.9975
USGS	8162580	28.97359167	-96.2085194
USGS	8162600	28.92803769	-96.1710747
USGS	8163500	29.4432973	-96.9449819
USGS	8163720	29.26886389	-96.9727694
USGS	8163880	29.09466667	-96.9872333
USGS	8163900	29.1354361	-96.9865944
USGS	8164000	28.95998449	-96.6863668
USGS	8164150	29.68995833	-96.9382611
USGS	8164200	29.69758333	-96.8379472
USGS	8164300	29.466908	-96.812756
USGS	8164350	29.321914	-96.7091425
USGS	8164370	29.1355328	-96.7444227
USGS	8164390	29.06553568	-96.6741434
USGS	8164410	29.45140278	-96.6736056
USGS	8164450	29.1602539	-96.5463608
USGS	8164503	29.07185833	-96.4680278
USGS	8164504	29.07081227	-96.4171913
USGS	8164600	28.8913759	-96.8191486
USGS	8164800	28.72527137	-96.7688702
USGS	8165300	30.06410028	-99.3870175
USGS	8165500	30.06993074	-99.3217122
USGS	8166000	30.10020707	-99.2831006
USGS	8166140	30.06965617	-99.1953454
USGS	8166150	30.06548967	-99.18228948
USGS	8166200	30.053266	-99.163375
USGS	8166250	29.98777778	-99.11
USGS	8167000	29.96523889	-98.8971667
USGS	8167200	29.89358333	-98.6698333
USGS	8167500	29.8604957	-98.3836275
USGS	8167800	29.85910758	-98.1800106
USGS	8168000	29.7593893	-98.140009
USGS	8168500	29.7149465	-98.1100083
USGS	8168710	29.70605788	-98.1225085
USGS	8168797	29.688	-98.1548333
USGS	8168913	29.71007778	-98.1316611
USGS	8168932	29.7089611	-98.1334417
USGS	8169000	29.70640833	-98.1222083
USGS	8169500	29.69800265	-98.1066748
USGS	8169778	29.5996111	-97.9391722
USGS	8169792	29.53616667	-97.8809444
USGS	8169845	29.4876 -97.5875056	1
USGS	8170000	29.88910804	-97.9341718
USGS	8170500	29.88910804	-97.9341718
USGS	8170890	30.02080556	-98.3305556
USGS	8170905	30.0368 -98.2228972	5
USGS	8170950	30.00058333	-98.2003611
USGS	8170990	30.03444444	-98.1261111
USGS	8171000	29.99438343	-98.088925
USGS	8171290	30.00555556	-97.9525
USGS	8171300	29.9793843	-97.910031
USGS	8171350	29.8795111	-97.9107528
USGS	8171400	29.8322861	-97.8423833
USGS	8172000	29.66633885	-97.6508561
USGS	8172400	29.92299765	-97.679191
USGS	8173000	29.699444	-97.603333
USGS	8173210	29.6549222	-97.5997722
USGS	8173900	29.48440414	-97.4502702
USGS	8174200	29.62491389	-97.3207444
USGS	8174545	29.6926472	-97.2314944
USGS	8174550	29.68580278	-97.2308167
USGS	8174600	29.47412328	-97.3166795
USGS	8174700	29.31446667	-97.3035
USGS	8174970	29.29175556	-97.6207556
USGS	8175000	29.2152475	-97.4494353
USGS	8175800	29.09053147	-97.3297129
USGS	8176500	28.7930456	-97.0130429
USGS	8176550	28.89776103	-97.3549922
USGS	8176900	28.86165308	-97.2263791
USGS	8177300	28.7516564	-97.3172142
USGS	8177500	28.73110317	-97.1386004
USGS	8177520	28.66194444	-96.9652778
USGS	8177700	29.4991192	-98.5102958
USGS	8177818	29.4661111	-98.4686111
USGS	8178000	29.4096781	-98.4950458
USGS	8178050	29.39301189	-98.4947392
USGS	8178090	29.44523223	-98.5019619
USGS	8178500	29.40634484	-98.5108795
USGS	8178565	29.32218095	-98.450322
USGS	8178585	29.63078135	-98.5655755
USGS	8178593	29.5638611	-98.5196667
USGS	8178700	29.5160633	-98.4311271
USGS	8178800	29.35717994	-98.412821
USGS	817887350	29.79389167	-99.2485944
USGS	8178880	29.72383537	-99.070035
USGS	8178980	29.69438889	-98.9793056
USGS	8180586	29.61972778	-98.7951528
USGS	8180640	29.3241246	-98.813081
USGS	8180700	29.33495798	-98.689744
USGS	8180800	29.26218286	-98.5814074
USGS	8180990	29.59305556	-98.5991667
USGS	8181400	29.57856108	-98.6916896
USGS	8181435	29.447875	-98.6337111
USGS	8181480	29.32995837	-98.5841856
USGS	8181500	29.2641276	-98.4908493
USGS	8181725	29.2354111	-98.4026083
USGS	8181800	29.2221853	-98.3558463
USGS	8183200	29.11	-98.1744444
USGS	8183500	28.95163797	-98.0641989
USGS	8183900	29.77498889	-98.7094694
USGS	8183978	29.73677778	-98.4933722
